"Word","Pair","Subject","Repetition","VOT","consonant","minpair","Klatt","VHeight","Length","Freq_KF","SMean","BMean","NNbors","VC","CC","CV","CMU","BaseDur","Freq_S","Structure","B1","NumCCoda","VcFinalC","mpCode","NNbors.c","VC.c","CC.c","CV.c"
"cad","k9","2",1,0.10734,"k","no","k@d","lo",3,1,0.07,0.0073,30,10,6,10,"KAED",0.284742983,0,"CVG",0.0122,1,"vcd",-0.5,10.0782990212622,2.95477556530543,1.67532905838677,4.28315896051299
"cad","k9","8",2,0.073181,"k","no","k@d","lo",3,1,0.07,0.0073,30,10,6,10,"KAED",0.284742983,0,"CVG",0.0122,1,"vcd",-0.5,10.0782990212622,2.95477556530543,1.67532905838677,4.28315896051299
"cad","k9","5",2,0.079945,"k","no","k@d","lo",3,1,0.07,0.0073,30,10,6,10,"KAED",0.284742983,0,"CVG",0.0122,1,"vcd",-0.5,10.0782990212622,2.95477556530543,1.67532905838677,4.28315896051299
"cad","k9","6",2,0.060298,"k","no","k@d","lo",3,1,0.07,0.0073,30,10,6,10,"KAED",0.284742983,0,"CVG",0.0122,1,"vcd",-0.5,10.0782990212622,2.95477556530543,1.67532905838677,4.28315896051299
"cake","k10","8",1,0.102162,"k","no","kek","hi",3,2.11,0.0585,0.002,26,10,5,8,"KEYK",0.299190117,45.06,"CVC",0.002,1,"vcless",-0.5,6.07829902126224,2.95477556530543,0.675329058386771,2.28315896051299
"cake","k10","1",2,0.075596,"k","no","kek","hi",3,2.11,0.0585,0.002,26,10,5,8,"KEYK",0.299190117,45.06,"CVC",0.002,1,"vcless",-0.5,6.07829902126224,2.95477556530543,0.675329058386771,2.28315896051299
"cake","k10","12",3,0.045746,"k","no","kek","hi",3,2.11,0.0585,0.002,26,10,5,8,"KEYK",0.299190117,45.06,"CVC",0.002,1,"vcless",-0.5,6.07829902126224,2.95477556530543,0.675329058386771,2.28315896051299
"cake","k10","8",2,0.101237,"k","no","kek","hi",3,2.11,0.0585,0.002,26,10,5,8,"KEYK",0.299190117,45.06,"CVC",0.002,1,"vcless",-0.5,6.07829902126224,2.95477556530543,0.675329058386771,2.28315896051299
"cake","k10","2",2,0.041578,"k","no","kek","hi",3,2.11,0.0585,0.002,26,10,5,8,"KEYK",0.299190117,45.06,"CVC",0.002,1,"vcless",-0.5,6.07829902126224,2.95477556530543,0.675329058386771,2.28315896051299
"cake","k10","3",2,0.101834,"k","no","kek","hi",3,2.11,0.0585,0.002,26,10,5,8,"KEYK",0.299190117,45.06,"CVC",0.002,1,"vcless",-0.5,6.07829902126224,2.95477556530543,0.675329058386771,2.28315896051299
