exp_num,sub_id,speed,word,token,VOT,vowel,closure,aspiration
Exp1,C,NA,pat,1,99,145,88,114
Exp1,C,NA,pat,2,75,173,64,95
Exp1,C,NA,pat,3,94,179,64,112
Exp1,C,NA,pat,4,71,163,102,127
Exp1,C,NA,pat,5,72,177,73,83
Exp1,C,NA,bet,1,7,158,80,124
Exp1,C,NA,bet,2,9,130,84,111
Exp1,C,NA,bet,3,6,173,67,92
Exp1,C,NA,bet,4,7,139,85,83
Exp1,C,NA,bet,5,8,156,82,98
Exp1,C,NA,pet,1,80,123,84,79
Exp1,C,NA,pet,2,48,143,78,120
Exp1,C,NA,pet,3,74,124,72,108
Exp1,C,NA,pet,4,79,110,79,71
Exp1,C,NA,pet,5,53,159,72,87
Exp1,C,NA,bub,1,6,160,106,90
Exp1,C,NA,bub,2,7,151,69,126
Exp1,C,NA,bub,3,10,140,72,122
Exp1,C,NA,bub,4,NA,NA,NA,NA
Exp1,C,NA,bub,5,7,172,79,77
Exp1,C,NA,pub,1,62,129,75,115
Exp1,C,NA,pub,2,75,140,72,105
Exp1,C,NA,pub,3,56,124,96,104
Exp1,C,NA,pub,4,61,129,69,98
Exp1,C,NA,pub,5,51,150,86,128
Exp1,C,NA,duck,1,21,132,90,24
Exp1,C,NA,duck,2,16,152,79,71
Exp1,C,NA,duck,3,10,154,74,77
Exp1,C,NA,duck,4,12,152,72,97
Exp1,C,NA,duck,5,11,150,74,54
Exp1,C,NA,tuck,1,56,112,83,82
Exp1,C,NA,tuck,2,52,114,80,93
Exp1,C,NA,tuck,3,68,105,79,76
Exp1,C,NA,tuck,4,32,137,82,97
Exp1,C,NA,tuck,5,46,124,73,98
Exp1,C,NA,dug,1,11,189,73,107
Exp1,C,NA,dug,2,11,203,79,156
Exp1,C,NA,dug,3,10,210,65,90
Exp1,C,NA,dug,4,15,201,70,93
Exp1,C,NA,dug,5,13,188,69,80
Exp1,C,NA,tug,1,58,181,70,126
Exp1,C,NA,tug,2,79,183,76,124
Exp1,C,NA,tug,3,56,185,60,148
Exp1,C,NA,tug,4,73,178,63,107
